,score
0,1.0
1,-1.0
2,0.0
3,1.0
4,-1.0
5,3.0
6,0.0
7,0.0
8,2.0
9,0.0
10,-2.0
11,-1.0
12,1.0
13,1.0
14,-1.0
15,0.0
16,-1.0
17,1.0
18,1.0
19,0.0
20,0.0
21,-1.0
22,2.0
23,1.0
24,0.0
25,0.0
26,1.0
27,2.0
28,0.0
29,1.0
30,0.0
31,2.0
32,0.0
33,1.0
34,2.0
35,-2.0
36,-1.0
37,0.0
38,1.0
39,0.0
40,0.0
41,3.0
42,0.0
43,1.0
44,-1.0
45,-1.0
46,-2.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,1.0
53,0.0
54,-1.0
55,4.0
56,3.0
57,1.0
58,0.0
59,-1.0
60,-4.0
61,1.0
62,2.0
63,0.0
64,4.0
65,1.0
66,3.0
67,1.0
68,0.0
69,3.0
70,1.0
71,1.0
72,1.0
73,1.0
74,0.0
75,1.0
76,0.0
77,-2.0
78,1.0
79,1.0
80,1.0
81,2.0
82,1.0
83,2.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,1.0
90,1.0
91,0.0
92,0.0
93,0.0
94,6.0
95,5.0
96,1.0
97,0.0
98,2.0
99,2.0
