,score
0,1.0
1,-1.0
2,0.0
3,1.0
4,-1.0
5,-2.0
6,2.0
7,0.0
8,1.0
9,1.0
10,2.0
11,-1.0
12,1.0
13,0.0
14,2.0
15,0.0
16,1.0
17,3.0
18,-1.0
19,1.0
20,-1.0
21,0.0
22,3.0
23,0.0
24,0.0
25,1.0
26,2.0
27,2.0
28,-1.0
29,-1.0
30,0.0
31,-1.0
32,1.0
33,1.0
34,0.0
35,3.0
36,0.0
37,-1.0
38,0.0
39,0.0
40,1.0
41,1.0
42,0.0
43,-1.0
44,0.0
45,-1.0
46,1.0
47,0.0
48,-2.0
49,1.0
50,2.0
51,1.0
52,0.0
53,-2.0
54,0.0
55,1.0
56,-1.0
57,0.0
58,2.0
59,0.0
60,1.0
61,1.0
62,4.0
63,1.0
64,0.0
65,0.0
66,-1.0
67,1.0
68,0.0
69,0.0
70,2.0
71,2.0
72,2.0
73,2.0
74,1.0
75,3.0
76,1.0
77,3.0
78,-1.0
79,1.0
80,2.0
81,3.0
82,2.0
83,1.0
84,0.0
85,0.0
86,0.0
87,1.0
88,0.0
89,-2.0
90,1.0
91,1.0
92,3.0
93,0.0
94,-2.0
95,1.0
96,0.0
97,2.0
98,-1.0
99,3.0
100,4.0
101,4.0
102,0.0
103,3.0
104,3.0
105,1.0
106,6.0
107,1.0
108,1.0
109,3.0
110,4.0
111,7.0
112,6.0
113,2.0
114,1.0
115,5.0
116,9.0
117,3.0
118,0.0
119,2.0
120,4.0
121,3.0
122,6.0
123,3.0
124,4.0
125,1.0
126,3.0
127,3.0
128,8.0
129,2.0
130,6.0
131,5.0
132,2.0
133,1.0
134,7.0
135,7.0
136,7.0
137,5.0
138,4.0
139,10.0
140,2.0
141,5.0
142,3.0
143,6.0
144,1.0
145,6.0
146,3.0
147,3.0
148,9.0
149,2.0
150,6.0
151,8.0
152,6.0
153,3.0
154,5.0
155,6.0
156,10.0
157,6.0
158,3.0
159,4.0
160,3.0
161,5.0
162,8.0
163,5.0
164,7.0
165,4.0
166,9.0
167,8.0
168,7.0
169,7.0
170,8.0
171,8.0
172,7.0
173,3.0
174,6.0
175,6.0
176,10.0
177,6.0
178,3.0
179,3.0
180,3.0
181,7.0
182,6.0
183,7.0
184,9.0
185,9.0
186,6.0
187,7.0
188,6.0
189,6.0
190,12.0
191,11.0
192,6.0
193,10.0
194,6.0
195,1.0
196,4.0
197,9.0
198,4.0
199,3.0
200,-1.0
201,10.0
202,9.0
203,6.0
204,2.0
205,10.0
