,score
0,1.0
1,0.0
2,-3.0
3,1.0
4,0.0
5,1.0
6,0.0
7,-1.0
8,3.0
9,1.0
10,0.0
11,-1.0
12,0.0
13,0.0
14,1.0
15,0.0
16,1.0
17,0.0
18,-1.0
19,0.0
20,-3.0
21,0.0
22,-1.0
23,-2.0
24,0.0
25,1.0
26,-1.0
27,-1.0
28,-1.0
29,1.0
30,1.0
31,3.0
32,-1.0
33,1.0
34,1.0
35,0.0
36,0.0
37,-1.0
38,2.0
39,2.0
40,0.0
41,0.0
42,-1.0
43,-3.0
44,0.0
45,-2.0
46,1.0
47,0.0
48,0.0
49,1.0
50,0.0
51,4.0
52,4.0
53,2.0
54,-1.0
55,1.0
56,1.0
57,2.0
58,-2.0
59,1.0
60,0.0
61,1.0
62,3.0
63,2.0
64,2.0
65,0.0
66,1.0
67,0.0
68,1.0
69,1.0
70,2.0
71,1.0
72,2.0
73,2.0
74,2.0
75,0.0
76,4.0
77,2.0
78,2.0
79,3.0
80,2.0
81,1.0
82,1.0
83,3.0
84,1.0
85,2.0
86,1.0
87,4.0
88,0.0
89,4.0
90,2.0
91,2.0
92,1.0
93,2.0
94,1.0
95,4.0
96,2.0
97,3.0
98,2.0
99,-2.0
100,1.0
101,1.0
102,4.0
103,1.0
104,-1.0
105,3.0
106,5.0
107,0.0
108,4.0
109,-1.0
110,1.0
111,3.0
112,3.0
113,2.0
114,1.0
115,1.0
116,3.0
117,3.0
118,8.0
119,3.0
120,-1.0
121,-3.0
122,5.0
123,5.0
124,2.0
125,2.0
126,-1.0
127,0.0
128,0.0
129,0.0
130,-1.0
131,2.0
132,3.0
133,3.0
134,0.0
135,2.0
136,4.0
137,3.0
138,4.0
139,3.0
140,3.0
141,1.0
142,3.0
143,2.0
144,6.0
145,3.0
146,7.0
147,2.0
148,5.0
149,2.0
150,4.0
151,6.0
152,2.0
153,0.0
154,3.0
155,5.0
156,3.0
157,4.0
158,9.0
159,8.0
160,7.0
161,7.0
162,6.0
163,1.0
164,6.0
165,1.0
166,3.0
167,3.0
168,8.0
169,3.0
170,6.0
171,5.0
172,5.0
173,7.0
174,8.0
175,2.0
176,2.0
177,1.0
178,5.0
179,1.0
180,2.0
181,0.0
182,1.0
183,1.0
184,4.0
185,6.0
186,8.0
187,8.0
188,4.0
189,5.0
190,8.0
191,1.0
192,2.0
193,4.0
194,3.0
195,3.0
196,2.0
197,7.0
198,8.0
199,3.0
200,8.0
201,2.0
202,5.0
203,6.0
204,0.0
205,7.0
206,6.0
207,5.0
208,5.0
209,5.0
210,5.0
211,6.0
212,4.0
213,2.0
214,4.0
215,4.0
216,2.0
217,4.0
218,5.0
219,5.0
220,5.0
221,8.0
222,10.0
223,8.0
224,3.0
225,1.0
226,4.0
227,4.0
228,9.0
229,8.0
230,10.0
231,5.0
232,2.0
233,6.0
234,5.0
235,0.0
236,10.0
237,6.0
238,5.0
239,10.0
240,2.0
241,9.0
242,11.0
243,10.0
244,2.0
245,3.0
246,11.0
247,9.0
248,6.0
249,3.0
250,9.0
251,8.0
252,5.0
253,6.0
254,8.0
255,5.0
256,10.0
257,11.0
258,9.0
259,13.0
260,6.0
261,7.0
262,6.0
263,8.0
264,3.0
265,8.0
266,9.0
267,10.0
268,10.0
269,11.0
270,4.0
271,8.0
272,6.0
273,7.0
274,9.0
275,7.0
276,7.0
277,6.0
278,7.0
279,3.0
280,4.0
281,7.0
282,9.0
283,8.0
284,12.0
285,8.0
286,3.0
287,7.0
288,9.0
289,11.0
290,12.0
291,3.0
292,7.0
293,8.0
294,17.0
295,11.0
296,5.0
297,10.0
298,3.0
299,6.0
300,10.0
301,5.0
302,7.0
303,9.0
304,9.0
305,4.0
306,12.0
307,8.0
308,12.0
309,7.0
310,4.0
311,13.0
312,18.0
313,10.0
314,13.0
315,16.0
316,12.0
317,14.0
318,7.0
319,15.0
320,5.0
321,6.0
322,15.0
323,8.0
324,10.0
325,11.0
326,7.0
327,16.0
328,16.0
329,7.0
330,4.0
331,8.0
332,11.0
333,6.0
334,11.0
335,11.0
336,10.0
337,10.0
338,11.0
339,11.0
340,9.0
341,9.0
342,19.0
343,8.0
344,6.0
345,7.0
346,9.0
347,7.0
348,10.0
349,12.0
350,7.0
351,11.0
352,18.0
353,3.0
354,9.0
355,3.0
356,10.0
357,12.0
358,9.0
359,10.0
360,11.0
361,14.0
362,12.0
363,11.0
364,7.0
365,8.0
366,17.0
367,16.0
368,4.0
369,9.0
370,11.0
371,12.0
372,15.0
373,11.0
374,16.0
375,12.0
376,9.0
377,5.0
378,16.0
379,13.0
380,13.0
381,11.0
382,5.0
383,8.0
384,8.0
385,14.0
386,11.0
387,17.0
388,11.0
389,8.0
390,14.0
391,9.0
392,7.0
393,13.0
394,9.0
395,12.0
396,14.0
