,score
0,1.0
1,-1.0
2,0.0
3,-1.0
4,-3.0
5,1.0
6,0.0
7,0.0
8,-2.0
9,1.0
10,-1.0
11,1.0
12,-1.0
13,0.0
14,0.0
15,1.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,-1.0
24,-1.0
25,0.0
26,0.0
27,3.0
28,0.0
29,0.0
30,1.0
31,-1.0
32,0.0
33,0.0
34,-1.0
35,0.0
36,0.0
37,0.0
38,-1.0
39,0.0
40,2.0
41,0.0
42,1.0
43,0.0
44,-1.0
45,1.0
46,2.0
47,3.0
48,1.0
49,1.0
50,0.0
51,0.0
52,3.0
53,0.0
54,2.0
55,1.0
56,1.0
57,2.0
58,1.0
59,2.0
60,2.0
61,1.0
62,1.0
63,2.0
64,1.0
65,2.0
66,1.0
67,0.0
68,1.0
69,-2.0
70,2.0
71,0.0
72,0.0
73,3.0
74,0.0
75,2.0
76,-2.0
77,1.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,1.0
84,2.0
85,1.0
86,-1.0
87,1.0
88,-1.0
89,2.0
90,2.0
91,3.0
92,4.0
93,6.0
94,2.0
95,3.0
96,5.0
97,0.0
98,2.0
99,0.0
100,3.0
101,-1.0
102,5.0
103,3.0
104,1.0
105,4.0
106,2.0
107,3.0
108,0.0
109,3.0
110,3.0
111,1.0
112,2.0
113,3.0
114,1.0
115,4.0
116,6.0
117,3.0
118,5.0
119,3.0
120,1.0
121,7.0
122,4.0
123,4.0
124,5.0
125,6.0
126,4.0
127,2.0
128,2.0
129,4.0
130,7.0
131,4.0
132,5.0
133,10.0
134,7.0
135,7.0
136,2.0
137,1.0
138,7.0
139,3.0
140,4.0
141,9.0
142,4.0
143,6.0
144,5.0
145,4.0
146,1.0
147,-1.0
148,3.0
149,7.0
150,6.0
151,5.0
152,3.0
153,7.0
154,3.0
155,8.0
156,6.0
157,7.0
158,3.0
159,7.0
160,1.0
161,3.0
162,2.0
163,5.0
164,4.0
165,7.0
166,13.0
167,3.0
168,7.0
169,6.0
170,6.0
171,7.0
172,10.0
173,10.0
174,8.0
175,1.0
176,0.0
177,6.0
178,8.0
179,9.0
180,8.0
181,2.0
182,4.0
183,8.0
184,5.0
185,12.0
186,2.0
187,5.0
188,8.0
189,4.0
190,4.0
191,5.0
192,8.0
193,1.0
194,3.0
195,7.0
196,1.0
197,6.0
198,4.0
199,5.0
200,2.0
201,9.0
202,3.0
203,4.0
204,7.0
205,1.0
