,score
0,1.0
1,-1.0
2,0.0
3,0.0
4,-2.0
5,2.0
6,0.0
7,1.0
8,1.0
9,0.0
10,0.0
11,-1.0
12,-1.0
13,-1.0
14,0.0
15,-1.0
16,0.0
17,0.0
18,0.0
19,2.0
20,0.0
21,0.0
22,-1.0
23,1.0
24,1.0
25,0.0
26,0.0
27,1.0
28,1.0
29,0.0
30,-2.0
31,-2.0
32,1.0
33,-2.0
34,-2.0
35,-2.0
36,0.0
37,0.0
38,-1.0
39,-1.0
40,1.0
41,0.0
42,1.0
43,0.0
44,1.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,2.0
52,1.0
53,-2.0
54,0.0
55,-1.0
56,0.0
57,0.0
58,2.0
59,1.0
60,-1.0
61,0.0
62,-3.0
63,0.0
64,3.0
65,-3.0
66,2.0
67,1.0
68,0.0
69,0.0
70,2.0
71,2.0
72,1.0
73,0.0
74,2.0
75,0.0
76,2.0
77,-2.0
78,0.0
79,2.0
80,-2.0
81,2.0
82,0.0
83,2.0
84,0.0
85,3.0
86,1.0
87,1.0
88,0.0
89,0.0
90,2.0
91,2.0
92,-1.0
93,2.0
94,1.0
95,0.0
96,4.0
97,2.0
98,-1.0
99,5.0
100,1.0
101,7.0
102,3.0
103,6.0
104,5.0
105,0.0
106,0.0
107,4.0
108,3.0
109,4.0
110,0.0
111,2.0
112,3.0
113,4.0
114,6.0
115,3.0
116,6.0
117,4.0
118,3.0
119,2.0
120,6.0
121,5.0
122,1.0
123,3.0
124,6.0
125,2.0
126,3.0
127,4.0
128,10.0
129,3.0
130,2.0
131,5.0
132,2.0
133,4.0
134,6.0
135,5.0
136,7.0
137,3.0
138,3.0
139,6.0
140,2.0
141,2.0
142,1.0
143,1.0
144,3.0
145,7.0
146,6.0
147,8.0
148,6.0
149,5.0
150,1.0
151,7.0
152,4.0
153,4.0
154,6.0
155,10.0
156,2.0
157,5.0
158,4.0
159,7.0
160,4.0
161,10.0
162,9.0
163,8.0
164,6.0
165,9.0
166,6.0
167,8.0
168,10.0
169,7.0
170,11.0
171,8.0
172,7.0
173,6.0
174,4.0
175,4.0
176,7.0
177,4.0
178,5.0
179,3.0
180,9.0
181,6.0
182,6.0
183,5.0
184,6.0
185,5.0
186,7.0
187,10.0
188,6.0
189,11.0
190,6.0
191,11.0
192,5.0
193,6.0
194,4.0
195,7.0
196,11.0
197,5.0
198,11.0
199,5.0
200,5.0
201,8.0
202,5.0
203,4.0
204,5.0
