,score
0,1.0
1,0.0
2,-2.0
3,0.0
4,-1.0
5,1.0
6,0.0
7,1.0
8,2.0
9,2.0
10,0.0
11,1.0
12,2.0
13,0.0
14,2.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,-1.0
22,0.0
23,-1.0
24,0.0
25,1.0
26,1.0
27,-1.0
28,-1.0
29,-1.0
30,0.0
31,1.0
32,2.0
33,0.0
34,1.0
35,-1.0
36,1.0
37,-1.0
38,2.0
39,-1.0
40,1.0
41,-3.0
42,1.0
43,1.0
44,-2.0
45,-2.0
46,0.0
47,1.0
48,1.0
49,-2.0
50,1.0
51,0.0
52,0.0
53,1.0
54,0.0
55,3.0
56,0.0
57,-1.0
58,0.0
59,0.0
60,0.0
61,1.0
62,0.0
63,2.0
64,3.0
65,2.0
66,2.0
67,1.0
68,0.0
69,-2.0
70,1.0
71,1.0
72,0.0
73,1.0
74,-1.0
75,0.0
76,3.0
77,-2.0
78,0.0
79,-1.0
80,0.0
81,1.0
82,3.0
83,0.0
84,0.0
85,2.0
86,1.0
87,0.0
88,1.0
89,-1.0
90,2.0
91,0.0
92,0.0
93,2.0
94,0.0
95,0.0
96,2.0
97,4.0
98,1.0
99,0.0
100,3.0
101,2.0
102,3.0
103,0.0
104,3.0
105,2.0
106,1.0
107,-1.0
108,0.0
109,4.0
110,1.0
111,2.0
112,1.0
113,0.0
114,0.0
115,2.0
116,1.0
117,-1.0
118,0.0
119,2.0
120,0.0
121,1.0
122,2.0
123,-1.0
124,2.0
125,-1.0
126,0.0
127,1.0
128,1.0
129,3.0
130,1.0
131,-1.0
132,2.0
133,-1.0
134,6.0
135,2.0
136,3.0
137,-1.0
138,1.0
139,-2.0
140,-1.0
141,2.0
142,1.0
143,2.0
144,-1.0
145,2.0
146,3.0
147,3.0
148,1.0
149,2.0
150,0.0
151,-1.0
152,0.0
153,3.0
154,-1.0
155,2.0
156,0.0
157,5.0
158,6.0
159,3.0
160,1.0
161,1.0
162,2.0
163,1.0
164,-1.0
165,4.0
166,-3.0
167,2.0
168,3.0
169,1.0
170,4.0
171,2.0
172,1.0
173,3.0
174,1.0
175,0.0
176,1.0
177,5.0
178,0.0
179,2.0
180,3.0
181,3.0
182,3.0
183,4.0
184,1.0
185,2.0
186,3.0
187,1.0
188,4.0
189,4.0
190,-1.0
191,5.0
192,0.0
193,1.0
194,3.0
195,0.0
196,4.0
197,0.0
198,5.0
199,1.0
200,0.0
201,1.0
202,2.0
203,4.0
204,2.0
205,0.0
206,3.0
207,2.0
208,2.0
209,1.0
210,4.0
211,-1.0
212,2.0
213,-2.0
214,1.0
215,-1.0
216,4.0
217,2.0
218,2.0
219,2.0
220,4.0
221,1.0
222,1.0
223,1.0
224,2.0
225,1.0
226,1.0
227,1.0
228,1.0
229,0.0
230,0.0
231,1.0
232,2.0
233,5.0
234,-1.0
235,1.0
236,1.0
237,2.0
238,0.0
239,2.0
240,-2.0
241,-1.0
242,0.0
243,-1.0
244,-1.0
245,0.0
246,1.0
247,1.0
248,0.0
249,-1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,-1.0
255,2.0
256,1.0
257,4.0
258,2.0
259,1.0
260,1.0
261,3.0
262,3.0
263,0.0
264,2.0
265,0.0
266,-1.0
267,0.0
268,-2.0
269,0.0
270,6.0
271,0.0
272,0.0
273,4.0
274,2.0
275,1.0
276,2.0
277,5.0
278,0.0
279,1.0
280,4.0
281,4.0
282,0.0
283,4.0
284,0.0
285,2.0
286,1.0
287,4.0
288,3.0
289,3.0
290,2.0
291,0.0
292,0.0
293,4.0
294,2.0
295,1.0
296,2.0
297,3.0
298,-1.0
299,1.0
300,1.0
301,12.0
302,3.0
303,3.0
304,3.0
305,1.0
306,3.0
307,5.0
308,-1.0
309,1.0
310,1.0
311,3.0
312,4.0
313,3.0
314,4.0
315,4.0
316,2.0
317,5.0
318,2.0
319,3.0
320,2.0
321,1.0
322,2.0
323,1.0
324,4.0
325,1.0
326,2.0
327,4.0
328,2.0
329,6.0
330,1.0
331,1.0
332,6.0
333,4.0
334,5.0
335,-1.0
336,2.0
337,2.0
338,0.0
339,0.0
340,0.0
341,5.0
342,0.0
343,4.0
344,-1.0
345,3.0
346,5.0
347,7.0
348,7.0
349,4.0
350,5.0
351,3.0
352,5.0
353,-1.0
354,3.0
355,7.0
356,5.0
357,3.0
358,6.0
359,4.0
360,4.0
361,-1.0
362,4.0
363,8.0
364,2.0
365,0.0
366,2.0
367,1.0
368,-1.0
369,3.0
370,1.0
371,1.0
372,4.0
373,9.0
374,7.0
375,-3.0
376,1.0
377,-1.0
378,9.0
379,0.0
380,4.0
381,5.0
382,7.0
383,2.0
384,5.0
385,1.0
386,5.0
387,2.0
388,2.0
389,5.0
390,2.0
