,score
0,1.0
1,0.0
2,-2.0
3,-1.0
4,0.0
5,0.0
6,-2.0
7,1.0
8,1.0
9,-2.0
10,0.0
11,-1.0
12,0.0
13,0.0
14,-2.0
15,0.0
16,0.0
17,0.0
18,1.0
19,1.0
20,-1.0
21,0.0
22,0.0
23,-1.0
24,0.0
25,0.0
26,-1.0
27,-1.0
28,-1.0
29,0.0
30,-2.0
31,0.0
32,3.0
33,-2.0
34,1.0
35,-1.0
36,0.0
37,0.0
38,-1.0
39,0.0
40,0.0
41,-1.0
42,1.0
43,1.0
44,0.0
45,2.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,1.0
52,1.0
53,0.0
54,1.0
55,0.0
56,0.0
57,1.0
58,0.0
59,0.0
60,1.0
61,-2.0
62,2.0
63,1.0
64,1.0
65,1.0
66,0.0
67,2.0
68,0.0
69,0.0
70,1.0
71,0.0
72,0.0
73,1.0
74,0.0
75,1.0
76,-1.0
77,1.0
78,1.0
79,-1.0
80,0.0
81,1.0
82,0.0
83,1.0
84,-1.0
85,-1.0
86,-1.0
87,0.0
88,-1.0
89,-1.0
90,5.0
91,-1.0
92,-1.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.0
99,0.0
100,-1.0
101,1.0
102,0.0
103,0.0
104,0.0
105,0.0
106,-1.0
107,1.0
108,0.0
109,-1.0
110,1.0
111,1.0
112,1.0
113,-1.0
114,0.0
115,0.0
116,-3.0
117,-1.0
118,0.0
119,4.0
120,2.0
121,0.0
122,0.0
123,1.0
124,1.0
125,0.0
126,0.0
127,1.0
128,2.0
129,0.0
130,1.0
131,1.0
132,-1.0
133,0.0
134,2.0
135,1.0
136,1.0
137,3.0
138,-1.0
139,0.0
140,0.0
141,3.0
142,-1.0
143,0.0
144,0.0
145,-1.0
146,-2.0
147,-1.0
148,1.0
149,1.0
150,3.0
151,2.0
152,1.0
153,-1.0
154,2.0
155,1.0
156,3.0
157,1.0
158,2.0
159,3.0
160,0.0
161,3.0
162,7.0
163,0.0
164,3.0
165,3.0
166,5.0
167,2.0
168,2.0
169,2.0
170,5.0
171,1.0
172,6.0
173,4.0
174,2.0
175,4.0
176,1.0
177,5.0
178,5.0
179,7.0
180,4.0
181,6.0
182,6.0
183,4.0
184,8.0
185,5.0
186,5.0
187,6.0
188,5.0
189,5.0
190,5.0
191,2.0
192,5.0
193,7.0
194,2.0
195,8.0
196,6.0
197,11.0
198,6.0
199,9.0
200,8.0
201,7.0
202,6.0
203,6.0
204,7.0
205,1.0
206,3.0
207,9.0
208,5.0
209,7.0
210,9.0
211,5.0
212,7.0
213,9.0
214,6.0
215,2.0
216,9.0
217,8.0
218,8.0
219,9.0
220,4.0
221,7.0
222,6.0
223,4.0
224,8.0
225,12.0
226,6.0
227,10.0
228,4.0
229,5.0
230,5.0
231,9.0
232,8.0
233,8.0
234,9.0
235,8.0
236,1.0
237,9.0
238,6.0
239,7.0
240,4.0
241,9.0
242,8.0
243,6.0
244,5.0
245,8.0
246,4.0
247,1.0
248,9.0
249,8.0
250,6.0
251,7.0
252,9.0
253,7.0
254,10.0
255,11.0
256,5.0
257,10.0
258,8.0
259,12.0
260,7.0
261,8.0
262,10.0
263,13.0
264,10.0
265,8.0
266,8.0
267,7.0
268,7.0
269,9.0
270,10.0
271,5.0
272,6.0
273,9.0
274,7.0
275,5.0
276,11.0
277,8.0
278,6.0
279,6.0
280,8.0
281,12.0
282,9.0
283,10.0
284,9.0
285,9.0
286,7.0
287,12.0
288,7.0
289,9.0
290,7.0
291,7.0
292,12.0
293,11.0
294,9.0
295,11.0
296,15.0
297,8.0
298,9.0
299,8.0
300,7.0
301,4.0
302,9.0
303,4.0
304,8.0
305,5.0
306,11.0
307,4.0
308,8.0
309,8.0
310,6.0
311,8.0
312,8.0
313,2.0
314,10.0
315,6.0
316,11.0
317,4.0
318,5.0
319,11.0
320,7.0
321,9.0
322,6.0
323,8.0
324,13.0
325,10.0
326,7.0
327,9.0
328,11.0
329,11.0
330,18.0
331,5.0
332,10.0
333,11.0
334,10.0
335,8.0
336,11.0
337,6.0
338,5.0
339,9.0
340,7.0
341,8.0
342,10.0
343,7.0
344,12.0
345,5.0
346,11.0
347,9.0
348,9.0
349,9.0
350,7.0
351,8.0
352,10.0
353,15.0
354,4.0
355,10.0
356,10.0
357,10.0
358,9.0
359,7.0
360,11.0
361,12.0
362,9.0
363,9.0
364,8.0
365,8.0
366,9.0
367,8.0
368,16.0
369,11.0
370,12.0
371,11.0
372,14.0
373,12.0
374,10.0
375,9.0
376,8.0
377,4.0
378,8.0
379,9.0
380,3.0
381,11.0
382,10.0
383,5.0
384,14.0
385,10.0
386,15.0
387,13.0
388,9.0
389,15.0
390,12.0
391,6.0
392,11.0
393,11.0
