,score
0,1.0
1,-1.0
2,-1.0
3,0.0
4,-1.0
5,2.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,1.0
12,-2.0
13,-1.0
14,1.0
15,0.0
16,-2.0
17,-2.0
18,-2.0
19,-1.0
20,0.0
21,-1.0
22,0.0
23,-1.0
24,0.0
25,0.0
26,1.0
27,-1.0
28,1.0
29,0.0
30,-2.0
31,1.0
32,1.0
33,0.0
34,0.0
35,-1.0
36,0.0
37,0.0
38,-1.0
39,0.0
40,0.0
41,0.0
42,-1.0
43,0.0
44,4.0
45,2.0
46,1.0
47,-1.0
48,2.0
49,-1.0
50,3.0
51,0.0
52,0.0
53,0.0
54,1.0
55,-1.0
56,2.0
57,-2.0
58,0.0
59,1.0
60,0.0
61,0.0
62,1.0
63,0.0
64,0.0
65,-1.0
66,0.0
67,2.0
68,2.0
69,-1.0
70,-2.0
71,-1.0
72,0.0
73,-2.0
74,0.0
75,0.0
76,1.0
77,-1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,-1.0
83,0.0
84,1.0
85,1.0
86,1.0
87,-1.0
88,0.0
89,1.0
90,1.0
91,1.0
92,2.0
93,3.0
94,2.0
95,0.0
96,2.0
97,4.0
98,1.0
99,0.0
100,6.0
101,4.0
102,0.0
103,1.0
104,2.0
105,0.0
106,3.0
107,1.0
108,3.0
109,2.0
110,4.0
111,2.0
112,5.0
113,2.0
114,2.0
115,1.0
116,2.0
117,0.0
118,2.0
119,-1.0
120,3.0
121,2.0
122,3.0
123,2.0
124,2.0
125,4.0
126,0.0
127,5.0
128,5.0
129,4.0
130,3.0
131,0.0
132,3.0
133,4.0
134,7.0
135,7.0
136,4.0
137,1.0
138,4.0
139,3.0
140,2.0
141,2.0
142,3.0
143,4.0
144,5.0
145,4.0
146,5.0
147,2.0
148,1.0
149,9.0
150,3.0
151,6.0
152,3.0
153,6.0
154,7.0
155,3.0
156,2.0
157,2.0
158,10.0
159,3.0
160,12.0
161,6.0
162,9.0
163,6.0
164,4.0
165,1.0
166,10.0
167,2.0
168,6.0
169,6.0
170,3.0
171,0.0
172,2.0
173,3.0
174,6.0
175,3.0
176,6.0
177,1.0
178,8.0
179,1.0
180,2.0
181,1.0
182,1.0
183,6.0
184,2.0
185,9.0
186,6.0
187,3.0
188,2.0
189,2.0
190,0.0
191,0.0
192,3.0
193,1.0
194,1.0
195,2.0
196,1.0
197,1.0
198,1.0
199,3.0
200,2.0
201,2.0
202,7.0
203,3.0
