,score
0,1.0
1,0.0
2,-3.0
3,0.0
4,0.0
5,0.0
6,-1.0
7,0.0
8,1.0
9,-1.0
10,-1.0
11,-1.0
12,0.0
13,0.0
14,0.0
15,1.0
16,1.0
17,-1.0
18,0.0
19,-1.0
20,0.0
21,-1.0
22,2.0
23,1.0
24,0.0
25,0.0
26,-1.0
27,-1.0
28,1.0
29,1.0
30,2.0
31,1.0
32,0.0
33,-2.0
34,1.0
35,1.0
36,0.0
37,2.0
38,0.0
39,0.0
40,-1.0
41,-2.0
42,0.0
43,0.0
44,-1.0
45,1.0
46,-1.0
47,-2.0
48,1.0
49,1.0
50,2.0
51,1.0
52,1.0
53,2.0
54,0.0
55,1.0
56,-1.0
57,1.0
58,1.0
59,0.0
60,0.0
61,-2.0
62,1.0
63,0.0
64,0.0
65,1.0
66,3.0
67,-1.0
68,0.0
69,1.0
70,1.0
71,-1.0
72,3.0
73,-2.0
74,0.0
75,1.0
76,-1.0
77,-1.0
78,2.0
79,0.0
80,0.0
81,0.0
82,2.0
83,1.0
84,2.0
85,2.0
86,2.0
87,1.0
88,-1.0
89,1.0
90,2.0
91,0.0
92,1.0
93,1.0
94,2.0
95,0.0
96,3.0
97,0.0
98,4.0
99,3.0
100,1.0
101,4.0
102,3.0
103,4.0
104,0.0
105,0.0
106,5.0
107,1.0
108,-1.0
109,2.0
110,3.0
111,2.0
112,2.0
113,2.0
114,0.0
115,2.0
116,2.0
117,4.0
118,0.0
119,3.0
120,2.0
121,3.0
122,3.0
123,1.0
124,3.0
125,1.0
126,1.0
127,5.0
128,3.0
129,0.0
130,2.0
131,3.0
132,4.0
133,2.0
134,3.0
135,5.0
136,1.0
137,2.0
138,3.0
139,3.0
140,3.0
141,4.0
142,-1.0
143,7.0
144,1.0
145,7.0
146,3.0
147,2.0
148,2.0
149,3.0
150,0.0
151,3.0
152,1.0
153,2.0
154,4.0
155,6.0
156,6.0
157,5.0
158,6.0
159,2.0
160,6.0
161,8.0
162,2.0
163,10.0
164,4.0
165,4.0
166,12.0
167,4.0
168,5.0
169,0.0
170,3.0
171,5.0
172,3.0
173,5.0
174,3.0
175,-2.0
176,2.0
177,2.0
178,1.0
179,4.0
180,8.0
181,0.0
182,3.0
183,7.0
184,2.0
185,4.0
186,3.0
187,0.0
188,4.0
189,3.0
190,6.0
191,3.0
192,-1.0
193,2.0
194,5.0
195,5.0
196,-1.0
197,0.0
198,2.0
199,6.0
200,5.0
201,2.0
202,2.0
203,3.0
204,5.0
205,3.0
206,10.0
207,3.0
208,9.0
209,2.0
210,3.0
211,6.0
212,7.0
213,2.0
214,5.0
215,7.0
216,8.0
217,3.0
218,6.0
219,7.0
220,9.0
221,6.0
222,5.0
223,9.0
224,2.0
225,5.0
226,6.0
227,9.0
228,6.0
229,9.0
230,7.0
231,5.0
232,3.0
233,5.0
234,6.0
235,1.0
236,7.0
237,3.0
238,3.0
239,7.0
240,4.0
241,8.0
242,6.0
243,12.0
244,4.0
245,12.0
246,15.0
247,4.0
248,9.0
249,8.0
250,8.0
251,9.0
252,13.0
253,7.0
254,5.0
255,8.0
256,9.0
257,7.0
258,9.0
259,11.0
260,8.0
261,5.0
262,12.0
263,10.0
264,11.0
265,9.0
266,3.0
267,8.0
268,5.0
269,12.0
270,11.0
271,4.0
272,5.0
273,9.0
274,5.0
275,9.0
276,5.0
277,8.0
278,2.0
279,7.0
280,3.0
281,9.0
282,7.0
283,5.0
284,14.0
285,7.0
286,8.0
287,13.0
288,8.0
289,8.0
290,7.0
291,7.0
292,13.0
293,12.0
294,7.0
295,13.0
296,7.0
297,6.0
298,4.0
299,13.0
300,10.0
301,9.0
302,6.0
303,7.0
304,9.0
305,13.0
306,6.0
307,10.0
308,8.0
309,8.0
310,7.0
311,8.0
312,12.0
313,5.0
314,7.0
315,8.0
316,8.0
317,9.0
318,13.0
319,4.0
320,10.0
321,11.0
322,12.0
323,9.0
324,11.0
325,4.0
326,3.0
327,7.0
328,1.0
329,2.0
330,3.0
331,10.0
332,6.0
333,7.0
334,15.0
335,11.0
336,0.0
337,9.0
338,4.0
339,6.0
340,7.0
341,7.0
342,17.0
343,9.0
344,6.0
345,10.0
346,12.0
347,11.0
348,9.0
349,12.0
350,8.0
351,11.0
352,9.0
353,9.0
354,11.0
355,7.0
356,12.0
357,6.0
358,9.0
359,11.0
360,4.0
361,4.0
362,10.0
363,7.0
364,4.0
365,7.0
366,13.0
367,13.0
368,10.0
369,11.0
370,4.0
371,13.0
372,10.0
373,9.0
374,6.0
375,12.0
376,12.0
377,3.0
378,8.0
379,10.0
380,13.0
381,8.0
382,11.0
383,6.0
384,10.0
385,11.0
386,8.0
387,12.0
388,15.0
389,7.0
390,6.0
391,12.0
392,13.0
393,12.0
394,12.0
395,12.0
