,score
0,1.0
1,0.0
2,-3.0
3,1.0
4,0.0
5,0.0
6,-1.0
7,0.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-2.0
13,-1.0
14,1.0
15,0.0
16,0.0
17,0.0
18,-1.0
19,-1.0
20,1.0
21,0.0
22,1.0
23,1.0
24,-1.0
25,0.0
26,-1.0
27,0.0
28,0.0
29,-2.0
30,-1.0
31,1.0
32,1.0
33,1.0
34,4.0
35,2.0
36,-1.0
37,1.0
38,-1.0
39,-2.0
40,0.0
41,1.0
42,0.0
43,2.0
44,0.0
45,0.0
46,-1.0
47,0.0
48,0.0
49,0.0
50,-1.0
51,0.0
52,1.0
53,-1.0
54,-2.0
55,3.0
56,2.0
57,1.0
58,1.0
59,0.0
60,0.0
61,-2.0
62,0.0
63,3.0
64,2.0
65,2.0
66,0.0
67,1.0
68,4.0
69,1.0
70,2.0
71,2.0
72,2.0
73,1.0
74,1.0
75,1.0
76,2.0
77,3.0
78,2.0
79,2.0
80,2.0
81,2.0
82,3.0
83,4.0
84,1.0
85,4.0
86,4.0
87,0.0
88,0.0
89,1.0
90,2.0
91,1.0
92,1.0
93,-1.0
94,1.0
95,3.0
96,0.0
97,2.0
98,0.0
99,1.0
100,5.0
101,1.0
102,3.0
103,8.0
104,6.0
105,1.0
106,3.0
107,1.0
108,2.0
109,2.0
110,2.0
111,3.0
112,4.0
113,3.0
114,4.0
115,2.0
116,3.0
117,4.0
118,1.0
119,3.0
120,1.0
121,3.0
122,7.0
123,4.0
124,1.0
125,1.0
126,1.0
127,3.0
128,3.0
129,10.0
130,3.0
131,5.0
132,3.0
133,4.0
134,5.0
135,0.0
136,0.0
137,5.0
138,2.0
139,2.0
140,7.0
141,-3.0
142,3.0
143,4.0
144,4.0
145,-1.0
146,2.0
147,0.0
148,3.0
149,4.0
150,4.0
151,3.0
152,6.0
153,2.0
154,2.0
155,3.0
156,3.0
157,2.0
158,5.0
159,5.0
160,-2.0
161,2.0
162,4.0
163,1.0
164,4.0
165,2.0
166,4.0
167,1.0
168,1.0
169,6.0
170,8.0
171,8.0
172,9.0
173,8.0
174,3.0
175,4.0
176,2.0
177,2.0
178,3.0
179,6.0
180,5.0
181,6.0
182,5.0
183,8.0
184,4.0
185,6.0
186,4.0
187,10.0
188,5.0
189,6.0
190,5.0
191,11.0
192,5.0
193,2.0
194,6.0
195,4.0
196,6.0
197,9.0
198,7.0
199,7.0
200,6.0
201,7.0
202,3.0
203,7.0
204,6.0
205,4.0
206,3.0
207,4.0
208,5.0
209,4.0
210,6.0
211,3.0
212,10.0
213,5.0
214,5.0
215,9.0
216,6.0
217,5.0
218,6.0
219,10.0
220,8.0
221,9.0
222,6.0
223,3.0
224,10.0
225,8.0
226,1.0
227,4.0
228,4.0
229,11.0
230,6.0
231,10.0
232,5.0
233,11.0
234,4.0
235,4.0
236,3.0
237,6.0
238,0.0
239,3.0
240,1.0
241,1.0
242,1.0
243,6.0
244,7.0
245,2.0
246,4.0
247,6.0
248,8.0
249,6.0
250,7.0
251,5.0
252,8.0
253,7.0
254,8.0
255,9.0
256,11.0
257,9.0
258,6.0
259,8.0
260,6.0
261,10.0
262,6.0
263,6.0
264,12.0
265,7.0
266,10.0
267,5.0
268,6.0
269,8.0
270,7.0
271,0.0
272,5.0
273,8.0
274,7.0
275,10.0
276,8.0
277,10.0
278,14.0
279,6.0
280,3.0
281,12.0
282,11.0
283,3.0
284,6.0
285,4.0
286,7.0
287,11.0
288,7.0
289,13.0
290,12.0
291,7.0
292,8.0
293,8.0
294,7.0
295,9.0
296,6.0
297,7.0
298,9.0
299,3.0
300,8.0
301,11.0
302,7.0
303,15.0
304,11.0
305,6.0
306,10.0
307,12.0
308,7.0
309,10.0
310,4.0
311,4.0
312,9.0
313,11.0
314,7.0
315,11.0
316,8.0
317,15.0
318,2.0
319,10.0
320,10.0
321,8.0
322,8.0
323,8.0
324,12.0
325,4.0
326,9.0
327,1.0
328,9.0
329,8.0
330,7.0
331,9.0
332,8.0
333,10.0
334,15.0
335,10.0
336,8.0
337,9.0
338,12.0
339,10.0
340,13.0
341,10.0
342,9.0
343,10.0
344,16.0
345,11.0
346,9.0
347,12.0
348,13.0
349,11.0
350,11.0
351,9.0
352,12.0
353,12.0
354,9.0
355,10.0
356,12.0
357,5.0
358,1.0
359,11.0
360,4.0
361,7.0
362,4.0
363,2.0
364,12.0
365,5.0
366,9.0
367,11.0
368,1.0
369,13.0
370,9.0
371,8.0
372,14.0
373,13.0
374,10.0
375,11.0
376,11.0
377,9.0
378,1.0
379,11.0
380,8.0
381,11.0
382,13.0
383,11.0
384,9.0
385,10.0
386,12.0
387,13.0
388,13.0
389,10.0
390,15.0
391,12.0
392,11.0
393,15.0
394,12.0
395,9.0
