,score
0,1.0
1,0.0
2,-2.0
3,-1.0
4,0.0
5,1.0
6,0.0
7,1.0
8,1.0
9,0.0
10,-1.0
11,-2.0
12,-1.0
13,-1.0
14,1.0
15,-1.0
16,-1.0
17,1.0
18,0.0
19,0.0
20,-1.0
21,-1.0
22,1.0
23,0.0
24,2.0
25,0.0
26,1.0
27,0.0
28,2.0
29,0.0
30,3.0
31,-1.0
32,0.0
33,2.0
34,0.0
35,2.0
36,0.0
37,0.0
38,2.0
39,0.0
40,0.0
41,-1.0
42,0.0
43,-2.0
44,1.0
45,-2.0
46,1.0
47,1.0
48,1.0
49,-2.0
50,1.0
51,1.0
52,-1.0
53,0.0
54,0.0
55,0.0
56,0.0
57,2.0
58,2.0
59,0.0
60,1.0
61,0.0
62,0.0
63,0.0
64,-1.0
65,2.0
66,2.0
67,2.0
68,1.0
69,0.0
70,2.0
71,1.0
72,3.0
73,-1.0
74,2.0
75,0.0
76,2.0
77,3.0
78,0.0
79,2.0
80,-1.0
81,2.0
82,3.0
83,1.0
84,1.0
85,-1.0
86,2.0
87,1.0
88,2.0
89,-1.0
90,2.0
91,-1.0
92,-1.0
93,1.0
94,2.0
95,3.0
96,2.0
97,3.0
98,3.0
99,2.0
100,0.0
101,0.0
102,0.0
103,3.0
104,4.0
105,1.0
106,-1.0
107,1.0
108,-1.0
109,1.0
110,3.0
111,5.0
112,3.0
113,3.0
114,1.0
115,0.0
116,0.0
117,2.0
118,2.0
119,1.0
120,1.0
121,3.0
122,4.0
123,3.0
124,0.0
125,8.0
126,3.0
127,3.0
128,2.0
129,4.0
130,5.0
131,2.0
132,3.0
133,0.0
134,3.0
135,8.0
136,4.0
137,1.0
138,2.0
139,2.0
140,1.0
141,1.0
142,4.0
143,4.0
144,3.0
145,7.0
146,6.0
147,2.0
148,5.0
149,7.0
150,2.0
151,3.0
152,11.0
153,3.0
154,1.0
155,9.0
156,-1.0
157,1.0
158,1.0
159,2.0
160,5.0
161,6.0
162,6.0
163,7.0
164,5.0
165,8.0
166,5.0
167,4.0
168,14.0
169,5.0
170,5.0
171,5.0
172,4.0
173,2.0
174,4.0
175,4.0
176,2.0
177,3.0
178,4.0
179,4.0
180,8.0
181,8.0
182,5.0
183,9.0
184,5.0
185,8.0
186,4.0
187,6.0
188,7.0
189,3.0
190,3.0
191,7.0
192,5.0
193,10.0
194,5.0
195,6.0
196,6.0
197,3.0
198,10.0
199,13.0
200,11.0
201,9.0
202,6.0
203,5.0
204,7.0
205,3.0
206,3.0
207,5.0
208,9.0
209,0.0
210,5.0
211,5.0
212,6.0
213,10.0
214,7.0
215,3.0
216,2.0
217,8.0
218,9.0
219,8.0
220,4.0
221,13.0
222,8.0
223,3.0
224,9.0
225,11.0
226,7.0
227,9.0
228,8.0
229,9.0
230,8.0
231,7.0
232,9.0
233,8.0
234,8.0
235,6.0
236,8.0
237,8.0
238,6.0
239,8.0
240,8.0
241,5.0
242,6.0
243,11.0
244,7.0
245,10.0
246,12.0
247,9.0
248,11.0
249,7.0
250,9.0
251,9.0
252,9.0
253,14.0
254,7.0
255,5.0
256,5.0
257,9.0
258,6.0
259,6.0
260,6.0
261,13.0
262,5.0
263,6.0
264,11.0
265,11.0
266,9.0
267,16.0
268,7.0
269,8.0
270,8.0
271,5.0
272,6.0
273,10.0
274,9.0
275,11.0
276,5.0
277,10.0
278,10.0
279,6.0
280,7.0
281,8.0
282,12.0
283,9.0
284,13.0
285,10.0
286,9.0
287,15.0
288,9.0
289,6.0
290,15.0
291,5.0
292,12.0
293,8.0
294,5.0
295,8.0
296,11.0
297,8.0
298,8.0
299,14.0
300,8.0
301,14.0
302,6.0
303,7.0
304,7.0
305,11.0
306,10.0
307,9.0
308,15.0
309,11.0
310,10.0
311,9.0
312,10.0
313,13.0
314,4.0
315,6.0
316,14.0
317,12.0
318,5.0
319,8.0
320,9.0
321,8.0
322,9.0
323,9.0
324,12.0
325,7.0
326,4.0
327,11.0
328,7.0
329,7.0
330,11.0
331,4.0
332,10.0
333,9.0
334,10.0
335,9.0
336,10.0
337,8.0
338,10.0
339,7.0
340,8.0
341,11.0
342,14.0
343,13.0
344,9.0
345,10.0
346,5.0
347,17.0
348,14.0
349,10.0
350,16.0
351,9.0
352,8.0
353,11.0
354,6.0
355,12.0
356,13.0
357,11.0
358,7.0
359,7.0
360,8.0
361,10.0
362,9.0
363,8.0
364,13.0
365,12.0
366,18.0
367,6.0
368,11.0
369,10.0
370,12.0
371,15.0
372,9.0
373,11.0
374,6.0
375,5.0
376,14.0
377,11.0
378,17.0
379,8.0
380,14.0
381,6.0
382,14.0
383,16.0
384,12.0
385,10.0
386,9.0
387,3.0
388,13.0
389,8.0
390,10.0
391,11.0
392,17.0
393,13.0
394,8.0
395,11.0
